setName,setTelemetry,condName,criteria,output,trigger,isDefault
CS AppA enabledFlag,/Spacecraft/AppA/enabledFlag,condEnabledFlag,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",ENAB,all,
CS AppA errorCount,/Spacecraft/AppA/errorCount,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
CS AppB errorCount,/Spacecraft/AppB/errorCount,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
CS AppC enabledFlag,/Spacecraft/AppC/enabledFlag,condEnabledFlag,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",ENAB,all,
CS AppC errorCount,/Spacecraft/AppC/errorCount,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
CS AppD enabledFlag,/Spacecraft/AppD/enabledFlag,condEnabledFlag,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",ENAB,all,
CS AppD errorCount,/Spacecraft/AppD/errorCount,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
CS AppE enabledFlag,/Spacecraft/AppE/enabledFlag,condEnabledFlag,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",ENAB,all,
CS AppE errorCount,/Spacecraft/AppE/errorCount,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
CS AppF bitSyncLock,/Spacecraft/AppF/bitSyncLock,condLock,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",LOCKED,all,
CS AppF carrierLock,/Spacecraft/AppF/carrierLock,condLock,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",LOCKED,all,
CS AppF enabledFlag,/Spacecraft/AppF/enabledFlag,condEnabledFlag,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",ENAB,all,
CS AppF errorCount,/Spacecraft/AppF/errorCount,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
CS AppF ldpcErrorCounter,/Spacecraft/AppF/ldpcErrorCounter,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
CS AppF txStatus,/Spacecraft/AppF/txStatus,condOn,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",ON,all,
CS AppF uplinkStatus,/Spacecraft/AppF/uplinkStatus,condLock,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",LOCKED,all,
CS AppG enabledFlag,/Spacecraft/AppG/enabledFlag,condEnabledFlag,"{telemetry:any,operation:enumValueIs,input:[1],metadata:value}",ENAB,all,
CS AppG errorCount,/Spacecraft/AppG/errorCount,condErrorCount,"{telemetry:any,operation:greaterThan,input:[0],metadata:value}",ERR,all,
